fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,sulphates,alcohol,wine_type,flag_free_sulfur_gt_total,total_acidity,sulfur_ratio,residual_sugar_log,chlorides_log,density_alcohol,sugar_to_alcohol,target_is_high_quality
8.9,0.62,0.18,3.8,0.176,52.0,145.0,0.9986,3.16,0.88,9.2,red,False,9.7,0.3586206871819263,1.5686159179138452,0.16211884947643518,9.18712,0.4130434333648442,0
8.9,0.62,0.19,3.9,0.17,51.0,148.0,0.9986,3.17,0.93,9.2,red,False,9.709999999999999,0.3445945922662528,1.589235205116581,0.15700374880966478,9.18712,0.4239129974007612,0
8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,red,False,9.34,0.3398058219436328,1.0296194171811581,0.0880108773227133,10.46745,0.17142855510204238,1
8.1,0.56,0.28,1.7,0.368,16.0,56.0,0.9968,3.11,1.28,9.3,red,False,8.94,0.285714280612245,0.9932517730102833,0.3133498192003587,9.270240000000001,0.1827956792692818,0
7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,red,False,8.07,0.20689654458977433,1.6863989535702288,0.08250122151174369,8.9766,0.4888888345679073,0
7.9,0.32,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,9.2,red,False,8.73,0.30357142315051033,1.0296194171811581,0.2934156042995415,9.171479999999999,0.19565215264650518,0
8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,red,False,9.600000000000001,0.48333332527777795,1.0296194171811581,0.07417939817425151,9.36992,0.19148934133092116,0
7.6,0.39,0.31,2.3,0.082,23.0,71.0,0.9982,3.52,0.65,9.7,red,False,8.299999999999999,0.3239436574092443,1.1939224684724346,0.07881118042428978,9.68254,0.23711337761717757,0
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,red,False,8.540000000000001,0.2702702629656686,0.9555114450274363,0.10074990310014306,9.4677,0.168421034903049,0
8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,red,False,9.1,0.1343283562040544,1.1939224684724346,0.08065790301745447,9.36992,0.24468082503395477,0
6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,red,False,7.44,0.5249999868750004,1.2237754316221157,0.08157998699242289,9.66896,0.24742265490488097,0
6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,red,False,6.85,0.4782608487712674,0.8754687373538999,0.07696104113612832,9.25815,0.15053761822176148,0
7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,red,False,8.25,0.3636363305785154,1.0296194171811581,0.07696104113612832,9.463899999999999,0.1894736642659301,0
7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,red,False,7.81,0.39999998857142893,1.0647107369924282,0.07696104113612832,9.37368,0.20212763807152787,0
7.8,0.645,0.0,2.0,0.082,8.0,16.0,0.9964,3.38,0.59,9.8,red,False,8.445,0.4999999687500019,1.0986122886681098,0.07881118042428978,9.76472,0.20408161182840695,0
6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,red,False,7.445,0.20731707064247476,1.2237754316221157,0.08525984395082342,10.05758,0.2376237388491348,0
6.9,0.685,0.0,2.5,0.105,22.0,37.0,0.9966,3.46,0.57,10.6,red,False,7.585000000000001,0.5945945785244708,1.252762968495368,0.09984533496971613,10.56396,0.2358490343538647,0
8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,red,False,9.075,0.1327433616571384,1.1939224684724346,0.07973496801885356,9.766680000000001,0.23469385360266798,0
6.9,0.605,0.12,10.7,0.073,40.0,83.0,0.9993,3.45,0.52,9.4,red,False,7.625000000000001,0.4819277050370156,2.4595888418037104,0.07045846364856141,9.39342,1.13829775124492,0
5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,red,False,5.7700000000000005,0.25999999480000013,1.0296194171811581,0.09803374027136541,9.16044,0.19565215264650518,0
7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,red,False,8.445,0.27777776234567986,1.8718021769015913,0.08250122151174369,9.58656,0.5729166069878535,0
7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,red,False,8.540000000000001,0.19999998666666757,1.2237754316221157,0.08250122151174369,10.773000000000001,0.22222220164609244,0
8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,red,False,8.76,0.4333333188888894,1.1314021114911006,0.0639133257436528,9.66896,0.21649482304177087,1
5.7,1.13,0.09,1.5,0.172,7.0,19.0,0.994,3.5,0.48,9.8,red,False,6.92,0.36842103324099823,0.9162907318741551,0.15871169115482087,9.741200000000001,0.15306120887130523,0
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,red,False,8.11,0.13793103289734446,1.9315214116032138,0.07138999608667293,10.4769,0.5619047083900278,0
8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,9.3,red,False,9.71,0.3695652093572781,1.33500106673234,0.08434114843375087,9.277680000000002,0.30107523644352296,0
7.5,0.49,0.2,2.6,0.332,8.0,14.0,0.9968,3.21,0.9,10.5,red,False,8.19,0.5714285306122479,1.2809338454620642,0.2866815721181974,10.4664,0.24761902403628344,0
8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,10.3,red,False,8.98,0.39130433081285515,1.1631508098056809,0.06672363204290818,10.267040000000001,0.21359221227260078,0
6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,red,False,7.489999999999999,0.4545454132231443,1.0296194171811581,0.048790164169432,9.463899999999999,0.1894736642659301,0
4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.9,0.56,13.1,red,False,5.27,0.12307692118343198,1.1314021114911006,0.05259245011917058,13.013539999999999,0.16030533127440222,0
7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,red,False,9.065,0.19298245444752232,1.1631508098056809,0.10795714150509228,9.1724,0.23913040879017303,0
8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58,9.5,red,False,9.509999999999998,0.3243243155588023,0.9555114450274363,0.10705907229340779,9.47055,0.168421034903049,0
6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,red,False,7.030000000000001,0.41666663194444736,0.9555114450274363,0.0639133257436528,9.16136,0.17391302457467128,0
5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58,9.2,red,False,6.279999999999999,0.12499999869791668,0.8754687373538999,0.07138999608667293,9.15768,0.15217389650283736,0
8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,red,False,9.72,0.17391303591682453,0.9932517730102833,0.07138999608667293,9.173319999999999,0.18478258861058822,0
6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,red,False,7.159999999999999,0.5333332977777802,1.1631508098056809,0.06672363204290818,9.358640000000001,0.2340425282933481,0
6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,red,False,7.14,0.42857139795918586,1.1314021114911006,0.0657877405380031,9.357700000000001,0.22340423155274133,0
8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,red,False,9.34,0.25210083821764,1.3862943611198906,0.07788653865707124,9.3718,0.3191489022182019,0
7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,red,False,8.26,0.4520547883280166,1.33500106673234,0.10436001532424277,10.1541,0.27450977700884543,0
7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.9978,3.34,0.53,9.5,red,False,8.36,0.5555555432098769,1.5686159179138452,0.08065790301745447,9.4791,0.3999999578947413,0
10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,red,False,11.19,0.39999996000000404,1.4816045409242156,0.06765864847381481,9.57216,0.3541666297743094,0
7.5,0.63,0.12,5.1,0.111,50.0,110.0,0.9983,3.26,0.77,9.4,red,False,8.25,0.4545454504132232,1.8082887711792655,0.10526051065749295,9.38402,0.5425531337709432,0
7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,red,False,8.57,0.31481480898491093,1.1939224684724346,0.07325046173959267,9.975000000000001,0.2299999770000023,0
7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,red,False,7.999999999999999,0.19565216965973545,1.2237754316221157,0.07138999608667293,9.36428,0.2553191217745615,0
8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,9.2,red,False,9.600000000000001,0.3653846083579883,1.1631508098056809,0.07603468627599762,9.1816,0.23913040879017303,0
7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71,9.3,red,False,8.88,0.17857142697704084,1.0296194171811581,0.10885440491208209,9.270240000000001,0.1935483662851219,0
7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.5,red,False,8.18,0.3428571330612248,1.0647107369924282,0.08157998699242289,9.4696,0.19999997894737065,1
7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,9.8,red,False,7.785,0.24074073628257897,1.0986122886681098,0.07788653865707124,9.766680000000001,0.20408161182840695,0
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,red,False,7.975,0.3636363305785154,1.7316555451583497,0.08250122151174369,10.85858,0.42660546544903993,0
7.5,0.52,0.11,1.5,0.079,11.0,39.0,0.9968,3.42,0.58,9.6,red,False,8.129999999999999,0.2820512748191981,0.9162907318741551,0.07603468627599762,9.56928,0.15624998372396004,0
6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,red,False,7.375,0.39999997333333515,0.9555114450274363,0.07325046173959267,10.659339999999998,0.1495326963053555,0
9.3,0.32,0.57,2.0,0.074,27.0,65.0,0.9969,3.28,0.79,10.7,red,False,10.190000000000001,0.41538460899408297,1.0986122886681098,0.07138999608667293,10.66683,0.18691587038169438,0
8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,red,False,8.755,0.4210526094182837,1.0647107369924282,0.07138999608667293,10.4601,0.1809523637188225,0
7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54,9.5,red,False,8.41,0.5555555349794246,1.0647107369924282,0.07325046173959267,9.46865,0.19999997894737065,0
7.7,0.67,0.23,2.1,0.088,17.0,96.0,0.9962,3.32,0.48,9.5,red,False,8.600000000000001,0.1770833314887153,1.1314021114911006,0.08434114843375087,9.463899999999999,0.22105260831025178,0
7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,red,False,8.610000000000001,0.19148935966500683,1.0647107369924282,0.08065790301745447,9.46295,0.19999997894737065,0
8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,red,False,9.235000000000001,0.25581394753921055,1.1314021114911006,0.08065790301745447,9.17792,0.22826084475425604,0
9.7,0.32,0.54,2.5,0.094,28.0,83.0,0.9984,3.28,0.82,9.6,red,False,10.559999999999999,0.3373493935259109,1.252762968495368,0.08984070399978947,9.584639999999998,0.26041663953993344,0
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,red,False,9.850000000000001,0.2142857091836736,1.1631508098056809,0.08892620919440151,10.4853,0.20952378956916293,0
6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7,red,False,7.585,0.4666666511111116,1.2237754316221157,0.09893994785490356,10.66362,0.22429904445803325,0
6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52,10.1,red,False,7.57,0.14999999812500003,1.0986122886681098,0.08250122151174369,10.05758,0.198019782374279,0
8.3,0.625,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,1.12,9.1,red,False,9.125,0.22689075439587603,0.9162907318741551,0.07696104113612832,9.07452,0.16483514672141247,0
6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,9.2,red,False,6.8500000000000005,0.19999998666666757,0.9555114450274363,0.06672363204290818,9.16136,0.17391302457467128,0
7.8,0.43,0.7,1.9,0.464,22.0,67.0,0.9974,3.13,1.28,9.4,red,False,8.93,0.3283582040543552,1.0647107369924282,0.38117241553911985,9.37556,0.20212763807152787,0
7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,9.1,red,False,8.370000000000001,0.28767122893601055,1.0986122886681098,0.08250122151174369,9.0727,0.21978019562854995,0
7.3,0.67,0.26,1.8,0.401,16.0,51.0,0.9969,3.16,1.14,9.4,red,False,8.23,0.3137254840445984,1.0296194171811581,0.33718626735486995,9.37086,0.19148934133092116,0
6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78,10.3,red,False,7.08,0.29508196237570555,1.0296194171811581,0.06672363204290818,10.25777,0.17475726458667334,0
6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,red,False,7.6000000000000005,0.4749999881250003,1.1631508098056809,0.07325046173959267,10.060609999999999,0.2178217606117069,0
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,red,False,9.37,0.1470588224480969,1.0647107369924282,0.10436001532424277,9.87228,0.19191917253341692,0
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,red,False,8.45,0.29032257127991706,1.0647107369924282,0.06015392281974709,9.56736,0.1979166460503494,0
9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,1.22,9.5,red,False,10.13,0.27199999782400003,1.1314021114911006,0.10165365372649983,9.4791,0.22105260831025178,0
7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,red,False,7.7,0.333333319444445,1.0296194171811581,0.07325046173959267,8.9802,0.19999997777778028,0
7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54,9.5,red,False,8.68,0.2999999978571429,1.0647107369924282,0.07603468627599762,9.4658,0.19999997894737065,0
8.6,0.49,0.29,2.0,0.11,19.0,133.0,0.9972,2.93,1.98,9.8,red,False,9.379999999999999,0.14285714178302902,1.0986122886681098,0.10436001532424277,9.77256,0.20408161182840695,0
5.0,1.02,0.04,1.4,0.045,41.0,85.0,0.9938,3.75,0.48,10.5,red,False,6.06,0.4823529355017302,0.8754687373538999,0.04401688541677433,10.4349,0.13333332063492184,0
4.7,0.6,0.17,2.3,0.058,17.0,106.0,0.9932,3.85,0.6,12.9,red,False,5.47,0.1603773569775721,1.1939224684724346,0.05638033343610764,12.81228,0.17829455982212714,0
6.8,0.775,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,10.7,red,False,7.575,0.34782607183364905,1.3862943611198906,0.09712671073072274,10.66255,0.2803738055725416,0
7.0,0.5,0.25,2.0,0.07,3.0,22.0,0.9963,3.25,0.63,9.2,red,False,7.75,0.13636363016528952,1.0986122886681098,0.06765864847381481,9.165959999999998,0.21739128071833907,0
7.6,0.9,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,9.8,red,False,8.56,0.499999950000005,1.252762968495368,0.07603468627599762,9.767660000000001,0.2551020147855087,0
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,red,False,8.825,0.37142856081632686,1.0647107369924282,0.07696104113612832,8.9748,0.2111110876543236,0
8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2,red,False,9.21,0.2199999956000001,1.1314021114911006,0.08065790301745447,10.171439999999999,0.2058823327566341,0
7.8,0.5,0.3,1.9,0.075,8.0,22.0,0.9959,3.31,0.56,10.4,red,False,8.600000000000001,0.36363634710743875,1.0647107369924282,0.07232066157962612,10.35736,0.18269229012574134,0
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,red,False,8.895,0.18461538177514797,1.1314021114911006,0.07417939817425151,9.16964,0.22826084475425604,0
7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,9.4,red,False,7.930000000000001,0.1388888850308643,1.1631508098056809,0.06765864847381481,9.362400000000001,0.2340425282933481,0
7.8,0.41,0.68,1.7,0.467,18.0,69.0,0.9973,3.08,1.31,9.3,red,False,8.889999999999999,0.26086956143667306,0.9932517730102833,0.3832194991608447,9.274890000000001,0.1827956792692818,0
6.2,0.63,0.31,1.7,0.088,15.0,64.0,0.9969,3.46,0.79,9.3,red,False,7.14,0.2343749963378907,0.9932517730102833,0.08434114843375087,9.271170000000001,0.1827956792692818,0
8.0,0.33,0.53,2.5,0.091,18.0,80.0,0.9976,3.37,0.8,9.6,red,False,8.86,0.22499999718750005,1.252762968495368,0.08709470685093376,9.57696,0.26041663953993344,0
8.1,0.785,0.52,2.0,0.122,37.0,153.0,0.9969,3.21,0.69,9.3,red,False,9.405,0.24183006377888847,1.0986122886681098,0.11511280710050457,9.271170000000001,0.2150537403168021,0
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,red,False,8.549999999999999,0.25531914350384805,1.0296194171811581,0.09893994785490356,9.4658,0.1894736642659301,0
8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,9.8,red,False,9.11,0.10185185090877916,1.1631508098056809,0.08065790301745447,9.76472,0.22448977301124767,0
8.4,0.6,0.1,2.2,0.085,14.0,111.0,0.9964,3.15,0.66,9.8,red,False,9.1,0.12612612498985473,1.1631508098056809,0.08157998699242289,9.76472,0.22448977301124767,0
10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,red,False,10.85,0.47826085916824224,1.1939224684724346,0.07696104113612832,9.68836,0.23711337761717757,0
9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,10.5,red,False,10.110000000000001,0.20967741597294492,1.1631508098056809,0.08617769624105233,10.4643,0.20952378956916293,0
8.3,0.54,0.28,1.9,0.077,11.0,40.0,0.9978,3.39,0.61,10.0,red,False,9.12,0.2749999931250002,1.0647107369924282,0.07417939817425151,9.978,0.1899999810000019,0
7.8,0.56,0.12,2.0,0.082,7.0,28.0,0.997,3.37,0.5,9.4,red,False,8.479999999999999,0.24999999107142887,1.0986122886681098,0.07881118042428978,9.3718,0.2127659348121346,0
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,red,False,9.39,0.24999999553571436,1.1631508098056809,0.11243542932978817,10.85858,0.20183484386836298,0
7.0,0.69,0.08,1.8,0.097,22.0,89.0,0.9959,3.34,0.54,9.2,red,False,7.77,0.247191008458528,1.0296194171811581,0.0925791812930932,9.162279999999999,0.19565215264650518,0
7.3,1.07,0.09,1.7,0.178,10.0,89.0,0.9962,3.3,0.57,9.0,red,False,8.459999999999999,0.11235954929933091,0.9932517730102833,0.16381808522939498,8.9658,0.1888888679012369,0
7.3,0.695,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52,9.2,red,False,7.995,0.23076921301775286,1.252762968495368,0.07232066157962612,9.1816,0.27173910089792386,0
8.0,0.71,0.0,2.6,0.08,11.0,34.0,0.9976,3.44,0.53,9.5,red,False,8.71,0.32352940224913523,1.2809338454620642,0.07696104113612832,9.4772,0.27368418171745457,0
7.8,0.5,0.17,1.6,0.082,21.0,102.0,0.996,3.39,0.48,9.5,red,False,8.47,0.20588235092272206,0.9555114450274363,0.07881118042428978,9.462,0.168421034903049,0
9.0,0.62,0.04,1.9,0.146,27.0,90.0,0.9984,3.16,0.7,9.4,red,False,9.659999999999998,0.2999999966666667,1.0647107369924282,0.13627761829254784,9.38496,0.20212763807152787,0
8.2,1.33,0.0,1.7,0.081,3.0,12.0,0.9964,3.53,0.49,10.9,red,False,9.53,0.2499999791666684,0.9932517730102833,0.07788653865707124,10.860759999999999,0.155963288443735,0
8.1,1.33,0.0,1.8,0.082,3.0,12.0,0.9964,3.54,0.48,10.9,red,False,9.43,0.2499999791666684,1.0296194171811581,0.07881118042428978,10.860759999999999,0.1651375995286606,0
8.0,0.59,0.16,1.8,0.065,3.0,16.0,0.9962,3.42,0.92,10.5,red,False,8.75,0.18749998828125072,1.0296194171811581,0.06297479916138844,10.4601,0.17142855510204238,1
6.1,0.38,0.15,1.8,0.072,6.0,19.0,0.9955,3.42,0.57,9.4,red,False,6.63,0.31578945706371275,1.0296194171811581,0.06952606264861023,9.357700000000001,0.19148934133092116,0
8.0,0.745,0.56,2.0,0.118,30.0,134.0,0.9968,3.24,0.66,9.4,red,False,9.305,0.22388059534417468,1.0986122886681098,0.11154137473290741,9.36992,0.2127659348121346,0
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,red,False,6.1899999999999995,0.17171716998265485,1.1939224684724346,0.04783732941416013,12.9181,0.17692306331361052,0
6.6,0.5,0.01,1.5,0.06,17.0,26.0,0.9952,3.4,0.58,9.8,red,False,7.109999999999999,0.6538461286982258,0.9162907318741551,0.05826890812397577,9.75296,0.15306120887130523,0
7.9,1.04,0.05,2.2,0.084,13.0,29.0,0.9959,3.22,0.55,9.9,red,False,8.990000000000002,0.4482758466111777,1.1631508098056809,0.08065790301745447,9.85941,0.2222221997755354,0
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,red,False,9.254999999999999,0.2539682499370119,1.0647107369924282,0.08617769624105233,9.5664,0.1979166460503494,0
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,red,False,9.165000000000001,0.19230768860946754,1.0296194171811581,0.08525984395082342,9.4696,0.1894736642659301,0
7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,9.2,red,False,7.9750000000000005,0.28888888246913597,1.0986122886681098,0.07788653865707124,9.17424,0.21739128071833907,0
7.8,0.56,0.19,2.1,0.081,15.0,105.0,0.9962,3.33,0.54,9.5,red,False,8.549999999999999,0.14285714149659864,1.1314021114911006,0.07788653865707124,9.463899999999999,0.22105260831025178,0
7.8,0.56,0.19,2.0,0.081,17.0,108.0,0.9962,3.32,0.54,9.5,red,False,8.549999999999999,0.15740740594993144,1.0986122886681098,0.07788653865707124,9.463899999999999,0.2105262936288112,0
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,red,False,5.54,0.4285714217687076,1.0296194171811581,0.048790164169432,13.8824,0.12857141938775576,0
6.3,0.39,0.08,1.7,0.066,3.0,20.0,0.9954,3.34,0.58,9.4,red,False,6.77,0.14999999250000037,0.9932517730102833,0.0639133257436528,9.35676,0.1808510445903144,0
8.1,0.67,0.55,1.8,0.117,32.0,141.0,0.9968,3.17,0.62,9.4,red,False,9.32,0.2269503530003521,1.0296194171811581,0.11064652008706366,9.36992,0.19148934133092116,0
5.8,0.68,0.02,1.8,0.087,21.0,94.0,0.9944,3.54,0.52,10.0,red,False,6.499999999999999,0.22340425294250796,1.0296194171811581,0.08342160813907239,9.943999999999999,0.1799999820000018,0
7.6,0.49,0.26,1.6,0.236,10.0,88.0,0.9968,3.11,0.8,9.3,red,False,8.35,0.11363636234504133,0.9555114450274363,0.211880359035499,9.270240000000001,0.1720429922534417,0
6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58,10.2,red,False,7.49,0.3999999866666671,1.1939224684724346,0.07138999608667293,10.15818,0.22549017397155158,0
8.2,0.4,0.44,2.8,0.089,11.0,43.0,0.9975,3.53,0.61,10.5,red,False,9.04,0.25581394753921055,1.33500106673234,0.08525984395082342,10.47375,0.2666666412698437,0
7.3,0.33,0.47,2.1,0.077,5.0,11.0,0.9958,3.33,0.53,10.3,red,False,8.1,0.4545454132231443,1.1314021114911006,0.07417939817425151,10.25674,0.20388347535111892,0
9.2,0.52,1.0,3.4,0.61,32.0,69.0,0.9996,2.74,2.0,9.4,red,False,10.719999999999999,0.46376810922075207,1.4816045409242156,0.4762341789963716,9.39624,0.3617020891806288,0
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,red,False,8.129999999999999,0.25252524997449244,1.0296194171811581,0.09075436326846414,10.0495,0.1782178041368511,0
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,red,False,7.949999999999999,0.2248061998077039,1.8718021769015913,0.06765864847381481,10.47165,0.5238094739229073,0
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,red,False,7.949999999999999,0.21874999829101563,1.8718021769015913,0.06859279146561172,10.47165,0.5238094739229073,0
